index,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,hasVideo,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,status,hasLift,parkingSpace,newDevelopmentFinished,Week,topNewDevelopment
0,87688139,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0a/42/4d/731846149.jpg,60133710,6,3,172000.0,flat,sale,67.0,False,2,2,"Calle de Provença, 127",Barcelona,Barcelona,Eixample,es,L'Antiga Esquerra de l'Eixample,41.3877393,2.1518734,True,https://www.idealista.com/inmueble/87688139/,1154,False,False,2567.0,{'typology': 'flat'},"{'subtitle': ""L'Antiga Esquerra de l'Eixample, Barcelona"", 'title': 'Piso en Calle de Provença, 127'}",False,False,False,,,,,14,
1,89127122,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/46/d7/c2/763987065.jpg,J-SEBRAV,10,2,130000.0,flat,sale,32.0,True,1,1,barrio El Raval,Barcelona,Barcelona,Ciutat Vella,es,El Raval,41.3801886,2.1653333,False,https://www.idealista.com/inmueble/89127122/,880,False,False,4063.0,{'typology': 'flat'},"{'subtitle': 'El Raval, Barcelona', 'title': 'Piso'}",True,False,False,good,False,,,14,
2,89115559,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/48/c0/b2/763671701.jpg,ARN159,28,1,149000.0,flat,sale,45.0,False,2,1,"Calle d'Arnau d'Oms, 44",Barcelona,Barcelona,Nou Barris,es,Porta,41.43058170000001,2.1774487,True,https://www.idealista.com/inmueble/89115559/,4824,True,False,3311.0,{'typology': 'flat'},"{'subtitle': 'Porta, Barcelona', 'title': ""Piso en Calle d'Arnau d'Oms, 44""}",True,False,False,good,True,,,14,
3,89102591,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/62/b8/ba/763309621.jpg,D-santpau230,23,5,220000.0,flat,sale,54.0,True,2,1,barrio La Sagrada Família,Barcelona,Barcelona,Eixample,es,La Sagrada Família,41.4104514,2.1787001,False,https://www.idealista.com/inmueble/89102591/,2711,False,False,4074.0,{'typology': 'flat'},"{'subtitle': 'La Sagrada Família, Barcelona', 'title': 'Piso'}",False,False,False,good,True,,,14,
4,89123676,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/66/e1/b6/763886813.jpg,Ref.405-11,7,bj,103000.0,flat,sale,67.0,False,2,1,"Calle de Travau, 29",Barcelona,Barcelona,Nou Barris,es,Can Peguera - El Turó de la Peira,41.4327883,2.1691984,True,https://www.idealista.com/inmueble/89123676/,4977,False,False,1537.0,{'typology': 'flat'},"{'subtitle': 'Can Peguera - El Turó de la Peira, Barcelona', 'title': 'Piso en Calle de Travau, 29'}",True,False,False,renew,True,,,14,
5,89127216,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ef/fe/d6/763988252.jpg,J-SEB145,23,2,140000.0,flat,sale,76.0,True,3,1,barrio La Verneda i la Pau,Barcelona,Barcelona,Sant Martí,es,La Verneda i la Pau,41.4238824,2.2091262,False,https://www.idealista.com/inmueble/89127216/,5380,False,False,1842.0,{'typology': 'flat'},"{'subtitle': 'La Verneda i la Pau, Barcelona', 'title': 'Piso'}",True,False,False,good,True,,,14,
6,89123198,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a3/a9/40/763864480.jpg,AN DOM,31,7,166000.0,flat,sale,100.0,True,3,1,Rambla de Guipúscoa,Barcelona,Barcelona,Sant Martí,es,La Verneda i la Pau,41.4205516,2.2074923,False,https://www.idealista.com/inmueble/89123198/,5016,True,False,1660.0,{'typology': 'flat'},"{'subtitle': 'La Verneda i la Pau, Barcelona', 'title': 'Piso en Rambla de Guipúscoa'}",False,False,False,good,True,,,14,
7,89112821,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/41/d5/81/763588383.jpg,SMGUIP,31,7,166000.0,flat,sale,100.0,True,3,1,barrio La Verneda i la Pau,Barcelona,Barcelona,Sant Martí,es,La Verneda i la Pau,41.4234589,2.2066392,False,https://www.idealista.com/inmueble/89112821/,5207,True,False,1660.0,{'typology': 'flat'},"{'subtitle': 'La Verneda i la Pau, Barcelona', 'title': 'Piso'}",False,False,False,good,True,,,14,
8,89124665,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bb/ea/db/763928968.jpg,8900,24,,199000.0,chalet,sale,96.0,False,3,1,Calle de Pere Blai,Barcelona,Barcelona,Sant Martí,es,El Besòs,41.4195009,2.2129738,False,https://www.idealista.com/inmueble/89124665/,5266,True,False,2073.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}","{'subtitle': 'El Besòs, Barcelona', 'title': 'Chalet adosado en Calle de Pere Blai'}",True,False,False,good,,,,14,
9,89124690,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b1/a0/7f/763929984.jpg,8895,28,6,239000.0,flat,sale,90.0,True,3,1,Calle de la Mare de Déu de Port,Barcelona,Barcelona,Sants-Montjuïc,es,La Marina del Port,41.3603731,2.1433958,False,https://www.idealista.com/inmueble/89124690/,3601,True,False,2656.0,{'typology': 'flat'},"{'subtitle': 'La Marina del Port, Barcelona', 'title': 'Piso en Calle de la Mare de Déu de Port'}",True,False,False,good,True,,,14,
